#dragendb_gene	uptodate_gene
RP5-1118D24.2	RPL10P17
MIR203	MIR203A
PRKRIRP3	THAP12P3
RP4-814D15.2	RPS27AP12
STK19P	STK19B
CD97	ADGRE5
C19orf43	TRIR
RP5-859D4.3	LINC01713
RP11-1070A24.1	RPS27AP13
RP11-190P13.1	EIF4E2P2
RP11-640I2.1	MTND5P40
PSMD5-AS1	CUTALP
HLA-AS1	HLX-AS1
RP11-84G21.1	PPP1R12A-AS1
TDPX2	PRDX1P1
RP11-1084I9.1	LINC02346
TCEB3B	ELOA2
AC005280.1	RIOX1
PNMAL2	PNMA8B
SLC35E2	SLC35E2A
RP11-112L6.4	LINC01273
RP13-507P19.2	LINC02370
RP11-458F8.2	GTF2IP23
AC009963.5	RPL22P8
XXyac-YM21GA2.6	FBP2P1
RP11-382A18.2	CASC21
AC097635.5	RPL39P18
RP11-120C12.3	LINC02621
CTD-2319I12.1	WFDC21P
RP11-627H22.8	MTCO3P9
RP11-415C15.2	LINC02261
B3GNT1	B4GAT1
RP1-37J18.2	LINC01646
RP11-456O19.2	LINC01905
CTC-260E6.11	BNIP3P15
MINOS1P2	MICOS10P2
RP5-1109J22.2	LINC01398
RP11-417E7.1	LINC01615
MAPK6PS2	MAPK6P2
AC009974.11	RPL23AP31
RP11-478H13.3	LINC01517
MINA	RIOX2
AC109826.1	LINC02611
FAM73A	MIGA1
LINC00371	C13orf42
AC013437.2	MTCYBP11
RP11-549K20.1	LINC02228
UPK3BL	UPK3BL1
AC079767.4	LINC01857
RP11-174G17.2	LINC01654
AC108479.1	NDUFB4P7
RP11-456D7.1	SKAP1-AS1
ALMS1P	ALMS1P1
C21orf54	LINC01548
RP11-291J9.2	MTCO3P30
RP11-512M8.3	CCDC150P1
RP11-456O19.4	LINC01539
CTD-2318B16.4	MTND4LP24
AE000662.93	LINC02332
RP11-438H8.8	CLK3P2
RP11-373J16.2	GAPDHP75
CCDC176	BBOF1
RP3-399J4.1	MTCYBP36
RP11-448N11.1	DHFRP5
KIAA1462	JCAD
RPS10L	RPS10P5
RP3-347M6.1	PPIAP89
RP13-39P12.2	IMPDH1P5
C16orf80	CFAP20
PCDHB17	PCDHB17P
PAPL	ACP7
RP11-434I12.2	RDH10-AS1
AP000350.4	MIF-AS1
RP11-434D11.4	LMNB1-DT
RP1-52J10.9	LCEP4
RP11-76N22.2	PKN2-AS1
CTD-3064H18.1	ZNF793-AS1
CTA-211A9.5	MIATNB
RP3-449O17.1	TPTEP2
TAPSAR1	PSMB8-AS1
AC011366.3	LINC01848
WDR52	CFAP44
AP000475.2	LINC01425
TCEB1P15	ELOCP15
AC009410.1	LINC01807
C21orf59	CFAP298
LINC00441	RB1-DT
HDHD1P1	PUDPP1
AC138123.2	RPL41P5
RP11-104D21.3	LINC01284
RP11-458F8.4	LINC02604
EFTUD1P2	EFL1P2
RP11-766N7.4	LINC02231
C6orf123	LINC01558
CTD-2382E5.4	EHD4-AS1
MAFG-AS1	MAFG-DT
C10orf129	ACSM6
AC011747.4	LINC01814
C16orf98	PYCARD-AS1
CEBPZ-AS1	CEBPZOS
RP11-380G5.3	RPL11P3
RP1-65J11.1	LINC01778
RP11-408H1.3	LINC02068
RP11-12A2.3	LINC01625
RP11-231C14.3	SMG1P6
RP11-1007O24.3	TMEM202-AS1
ATP5F1P7	ATP5PBP7
RP1-23K20.2	LINC01201
RP11-170J3.2	RPL23AP58
CYorf17	PRORY
C3orf17	NEPRO
RP5-991C6.3	LINC01526
RP11-431K24.3	LINC01714
RP11-27M24.3	LINC01290
RP11-758M4.1	MIR2052HG
RP11-113I22.1	LINC02160
KIAA0125P2	FAM30C
RP11-81B10.2	SAR1AP2
C13orf35	ATP11AUN
WBSCR17	GALNT17
RP11-854K16.2	BCAR1P2
RP11-5P22.3	LINC02229
RP11-711C17.2	LINC02394
ATP5G1P1	ATP5MC1P1
DEFB108P1	DEFB108A
RP11-192P9.1	CARSP2
RP11-432N13.4	SAGE2P
RP11-442H21.2	DDIT4-AS1
RP11-472I20.1	RPL23AP63
DNAJC3-AS1	DNAJC3-DT
PIDD	PIDD1
RP5-1051J4.6	GIMAP3P
RP11-2N5.2	LINC02216
RP11-438N16.1	LINC01234
RP11-71H9.1	LINC01324
RP11-159A18.1	RPS26P45
RP13-726E6.3	SNRPCP5
Y_RNA	RNY1P12
RP11-532F12.5	SPINT1-AS1
RP11-1033A18.1	HSP90AA2P
SELT	SELENOT
RP11-248B24.4	POLR3GP1
SUV420H1	KMT5B
FAM115C	TCAF2
RP11-8L18.2	RPS12P16
AC006156.2	TSPY6P
TCEB1P8	ELOCP8
RP11-761I4.3	TMC3-AS1
GPR128	ADGRG7
AC073283.4	EPCAM-DT
RP11-16D22.2	LINC02343
RP11-394A14.2	OR7E104P
FAM65C	RIPOR3
CYR61	CCN1
AC018359.1	LINC01811
RP11-321G12.1	LINC02568
RP4-816N1.6	ITFG2-AS1
AC007163.3	LINC01792
RP5-882O7.4	PPIAP35
RP11-7O14.1	LINC01571
RLTPR	CARMIL2
RP11-813N20.3	UGT2B26P
XXyac-YX65C7_A.4	VTA1P1
PROSC	PLPBP
AC064847.4	NDUFB4P4
RP11-476D10.1	LINC02555
RP11-32D17.4	SEPT14P12
PPAP2A	PLPP1
RP11-436I24.1	PHACTR2-AS1
CTC-325J23.3	LINC01337
RP11-104D3.1	RPL23AP16
LL0XNC01-16G2.1	PNMA6F
AD000092.3	RPS6P25
RP11-320P7.1	LINC01481
RP1-46F2.2	LINC01405
RP11-147L13.7	RDM1P3
RP11-411B10.6	FRG2LP
RP11-152C15.1	H2AFZP2
RP11-1036E20.10	WARSP1
CTD-2313N18.7	DEFB131B
RP11-169K19.1	NTAN1P1
AC009299.3	LINC01806
RP11-651P23.2	PPIAP73
CCDC42B	CFAP73
RP11-543E8.1	LINC01737
C7orf62	TEX47
RP11-436I9.5	KRT17P8
AF228730.12	SNRPCP6
RP11-354A14.1	LINC02235
RP11-88H9.2	LINC01750
RP11-166D19.1	MIR100HG
CTC-490E21.13	CYP2A7P2
PRKRIRP2	THAP12P2
SGK494	RSKR
TSPY6P	TSPY9P
AC006262.5	IGFL2-AS1
RP11-295M18.2	LINC01352
Z95114.7	MTCYBP34
RP11-558F24.6	MZT1P1
RP11-286M16.1	LINC01682
RP11-23O13.1	LLPHP1
RP11-614F17.2	SNHG27
CTD-2131I18.1	WSPAR
RP11-21G20.1	NDUFB2P1
LINC00633	ETDB
RP11-626P14.1	LINC02294
KRTAP4-16P	KRTAP4-16
RP11-613C6.4	SRP14P3
RP11-374C13.1	EEF1DP6
RP11-667M19.1	RPS29P19
RP11-375B1.3	LINC01574
RP11-129M6.1	LINC02315
RP11-343N15.1	SRGAP2-AS1
RP1-272J12.1	ISX-AS1
RP11-309P22.1	RPS6P15
FAM179A	TOGARAM2
RP11-506B6.3	RPSAP45
TMEM247	LINC02583
ATP5EP2	ATP5F1EP2
AP000662.9	PPIAP42
OSER1-AS1	OSER1-DT
AC096568.3	GNL2P1
RP11-52B19.7	SNRPCP17
ZRSR1	ZRSR2P1
PRKRIRP5	THAP12P5
RP3-334F4.2	RPL10P10
NACAP1	NACA4P
RP11-77K12.5	TMEM231P1
C17orf59	BORCS6
RP11-70F11.11	LINC02396
RP11-490M8.1	CRIM1-DT
PRAMEF26	PRAMEF25
RP11-613M5.1	RPL7AP9
AC141928.1	LINC02600
RP11-159J3.1	GAPDHP35
RP11-752G15.6	SNHG21
RP11-15J10.1	CBWD4P
AC010095.5	LIMS1-AS1
RP11-241F15.6	MTCO3P42
AC005037.4	RPL23AP30
C21orf67	LINC01547
RP11-219C24.8	PRAMEF32P
CTC-575D19.1	RPL10P9
LINC00935	TEX49
RP11-314P15.2	LINC02306
AC131097.3	LINC01237
FAM27L	FAM27E5
ATP5J2-PTCD1	ATP5MF-PTCD1
RP11-226P1.1	RPL9P6
RP11-25I15.3	LINC02450
RP5-827C21.4	COA6-AS1
RP11-404O13.1	LINC01704
AC026882.1	HINT2P1
RP11-522L3.4	MTCO2P19
TCEB1P18	ELOCP18
RP11-264E23.1	SNRPCP13
CTD-3179P9.1	LINC02147
CIRH1A	UTP4
CTB-35F21.2	PSD2-AS1
AC092580.4	LINC01871
RP11-737O24.4	SNRPCP4
RP11-97N5.2	CT45A11P
CTD-2292P10.4	LNCOC1
CTA-134P22.2	CADM3-AS1
RP4-784A16.5	LINC01771
GS1-259H13.2	TMEM225B
C17orf74	SPEM2
CTD-3018O17.3	ZNF528-AS1
RP11-15H20.5	IPO5P1
RP11-433P17.3	MTCO1P28
RP11-109M19.4	MTCYBP33
LPHN3	ADGRL3
RP11-98L4.1	EIF5P1
AP000345.4	LINC02557
AC104809.3	CROCC2
RP11-350G13.1	RPSAP49
CTA-217C2.1	NUP50-DT
RP11-700N1.1	LINC02502
AC079630.2	LINC02471
RP11-256L11.1	LINC01486
RP11-215N21.1	LINC01435
RP11-515K14.1	GTF3AP6
RP11-45O22.1	FKBP4P2
LL22NC03-22A12.9	ASH2LP2
RP11-347D21.3	LINC01522
RP4-788L20.3	LNCNEF
C1orf106	INAVA
C2orf71	PCARE
RP11-248J23.5	RPL21P90
AC018799.1	LINC01821
AC068610.3	LINC01393
RP6-145B8.3	STIP1P3
AC025335.1	RNF227
RP4-684O24.5	PDYN-AS1
RP11-734K2.4	POC1B-AS1
CCDC109B	MCUB
C6orf57	SDHAF4
RP11-666I19.2	DLGAP2-AS1
RP11-314O13.1	ARLNC1
RP11-844P9.3	BRCC3P1
RP11-157B13.3	MTDHP5
AC093642.5	LINC01881
C12orf39	SPX
RP5-1073F15.1	RPS29P21
AP001046.5	LINC01679
RP11-234B24.2	GAU1
snoU13	SNORD13P3
AC068538.4	LINC01849
RP11-93K7.1	ACTG1P18
AC002115.5	LINC01766
AC027612.6	LSP1P4
AL133249.1	LINC01946
RP11-1072C15.3	SMCO4P1
RP11-672L10.1	LINC01904
RP11-148K14.1	LRRC34P2
AP000235.2	LINC01692
LOC124685	MYL6P5
RP11-501J20.2	MIR3663HG
RP11-275I14.4	ACBD3-AS1
RP3-433F14.1	MTCO1P56
RP11-440K22.1	PPIAP74
CTD-2135D7.5	LINC02185
ATP5HP1	ATP5PDP1
FAM65A	RIPOR1
ATP5J2P6	ATP5MFP6
AC007879.7	MYOSLID
NAMPTL	NAMPTP1
AC016753.7	RPSAP22
RP11-106M7.4	RPL15P13
CTD-2194F12.1	CCNB3P1
AC091813.2	NUP35P2
RP11-368I7.4	LINC02166
RP11-57I17.3	CDCA4P3
RP11-299L17.4	DYNLL1P2
EP400NL	EP400P1
RP11-909B2.1	LINC01538
KIAA1161	MYORG
RP11-367J11.3	LINC02447
RP11-5P4.1	LINC01739
FOLR4	IZUMO1R
RP11-380B22.1	LINC01699
RP11-121J20.1	LINC02460
ATP5J2P3	ATP5MFP3
GPR111	ADGRF2
IGJP1	JCHAINP1
GATSL3	CASTOR1
CCDC147	CFAP58
KCNE1L	KCNE5
RP11-1000B6.3	LINC02256
DYX1C1	DNAAF4
TRAPPC2P1	TRAPPC2B
CTD-2192J16.15	RPL10P16
RP11-6J24.6	CDC37L1-DT
RP11-290F20.3	SMIM25
CTD-2275D24.2	LINC01333
RP11-575F12.1	LINC02405
AC012309.5	LINC01535
RP11-88I21.2	LINC02016
AC016735.2	LINC01819
C18orf42	AKAIN1
CTC-241F20.3	CARD8-AS1
RP11-255H23.3	BNIP3P39
BX664724.4	SDR42E1P3
CTD-2090I13.1	LINC01641
AC113618.1	LINC01937
RP11-463J7.2	LINC01720
MIR3158-2	MIR3158-1
ATP5F1P6	ATP5PBP6
RP11-202D1.3	LINC01919
RP11-8L8.2	LINC02285
CTD-3049M7.1	LINC01579
RP11-930O11.1	LINC02284
U4	RNU4-5P
ZUFSP	ZUP1
AC009492.1	DIRC3-AS1
RP11-449D8.3	PPIAP57
FAM108A8P	ABHD17AP7
RP11-394I13.1	LINC01960
RP11-316K19.3	PPIAP91
RP11-945C19.1	MIR3976HG
CTB-159G17.2	BNIP3P34
FAM212B	INKA2
AC090774.2	SPECC1P2
CTD-2246P4.1	LINC02080
RP11-323D18.5	RPL23AP20
RP11-391L3.5	PPIAP51
AC017076.5	NRIR
LINC00035	ABHD11-AS1
AC020571.3	HECW2-AS1
RP11-106A1.3	RPS3AP54
AC074338.4	RPS29P14
RP5-952N6.1	LINC01788
CCDC64B	BICDL2
C16orf59	TEDC2
RP11-813N20.1	UGT2B27P
C11orf82	DDIAS
C5orf27	LINC01554
RP11-166A12.1	LINC02201
AC007551.3	SEPT7-AS1
RP11-359M6.3	NOP56P3
C9orf89	CARD19
RP11-766N7.3	LINC02389
AC005013.1	TRIL
PCNXL3	PCNX3
CTD-3064M3.1	LINC01300
PRAMEF23	PRAMEF5
RP11-453M23.1	LINC01916
RP11-37O16.3	MTCO1P15
RP11-3P17.4	LINC02067
RP11-152C17.1	LINC01997
NARG2P2	ICE2P2
U6	RNU6-90P
AL591704.5	LAPTM4BP1
GPR64	ADGRG2
NAPRT1	NAPRT
CTD-2015H6.2	RPS27AP9
AP001631.9	FRGCA
AC073135.3	FRG2FP
RP5-871G17.5	GAPDHP74
AC078883.3	ITGA6-AS1
RP11-53M11.4	TRMT112P7
CTC-559E9.10	BNIP3P10
RP1-148H17.1	LINC01754
AC096669.3	LINC01886
GAS6-AS2	GAS6-DT
AC005037.6	MTND4LP13
CTB-161K23.1	CYP51A1-AS1
RP11-540O11.4	INO80-AS1
MIR4453	MIR4453HG
AC062017.1	HDAC4-AS1
LOC440461	ARHGAP27P2
RP11-363D24.1	LINC01509
SUGT1P	SUGT1P1
RP11-329N22.1	LINC01685
PRKRIRP6	THAP12P6
RP11-316M21.9	SPCS2P2
RP11-392O17.1	LYPLAL1-AS1
RP1-43O17.2	LCEP1
AC007316.3	AP1S2P1
KIAA1524	CIP2A
RP11-309N24.1	LINC02630
MLLT4	AFDN
RP6-109B7.3	PRR34-AS1
RP11-452K12.6	RPL34P20
RP11-134P9.3	LINC01353
MIR143HG	CARMN
FAM109A	PHETA1
CTGLF8P	AGAP13P
RP11-350J20.4	BTBD10P2
TEX40	CATSPERZ
WI2-81516E3.1	LINC01310
RP11-166J22.1	RPS27AP18
RP11-420O16.1	CDH18-AS1
RP11-340B18.1	LINC01179
CCDC64	BICDL1
AC007742.7	XKRY
BRWD1-IT2	BRWD1-AS2
FAM108A10P	ABHD17AP9
RP11-434O22.1	RPL12P6
CTC-436P18.3	LINC02057
AC092594.1	LINC01376
ATP5J2	ATP5MF
AC025811.1	BNIP3P33
RP4-665J23.1	LINC02609
RP11-357C3.3	LINC01278
AC009960.4	MTATP6P17
RP1-85F18.5	EP300-AS1
RP5-1007M22.2	LRRC8C-DT
GS1-24F4.1	RPL23AP96
CTB-87J17.2	BNIP3P36
RP11-712C7.1	LINC01255
CTD-2008P7.9	ERVE-1
RFWD2	COP1
RP11-80G7.1	HMMR-AS1
AL138764.1	C8orf59P1
RP4-760C5.5	LINC01733
FAM69C	DIPK1C
ELTD1	ADGRL4
RP11-109M19.2	MTND4P34
RP11-279F6.1	DRAIC
RP11-219B17.2	RORA-AS2
PAK7	PAK5
CTD-2568A17.5	LINC01869
RP11-204H9.2	DPP3P1
CTD-2144E22.2	NAMPTP3
RP6-65G23.1	LINC01269
RP11-214L13.1	LINC01416
AC006273.5	LINC01836
RP11-6B4.1	LINC02027
RP11-568K15.1	CRYZL2P
RP11-1110J8.1	RPL21P99
MIR4519	MIR762HG
RP11-648O15.1	XIAPP2
RP11-890B15.2	LINC02551
RP11-345M22.3	LINC01228
RP11-522L3.5	MTATP6P19
RP11-484N16.1	LIVAR
RP11-103G8.2	ERICH6-AS1
RP11-101C11.1	MIR4422HG
AC015726.1	NDUFB4P3
AC025627.4	MTCO1P39
RP11-191N8.2	LINC01655
FAM132A	C1QTNF12
RP11-12N13.4	MTCO3P38
RP11-156N15.1	SNRPCP2
CTD-2207L17.2	B3GNTL1P1
CTD-2275D24.4	LINC01335
AD000090.2	TMEM147-AS1
RP11-410N8.4	NOL4L-DT
IGKV2OR2-7D	IGKV2OR2-7
C12orf79	LINC01619
FAM115A	TCAF1
snoU13	LINC01998
RP11-96J15.2	FGF7P7
Metazoa_SRP	RN7SL778P
AC011738.4	LUARIS
RP11-39K24.13	MTCO3P11
RP11-205M3.3	LINC02275
RP11-3N2.11	MTND4LP2
RP4-769N13.6	ARMCX5-GPRASP2
RP6-105D16.1	RPSAP61
RP11-414H17.2	RPL32P23
RP4-669L17.4	SEPT14P13
CTBP1-AS2	CTBP1-DT
AQPEP	LVRN
RP11-126K1.2	ZNF687-AS1
RP11-400N13.3	LINC01705
CTC-555I19.1	DDX43P1
RP11-565F4.1	PRELID3BP8
Y_RNA	RNY4P36
HTATSF1P	HTATSF1P1
RP11-332E3.2	LMO7DN-IT1
FAM115B	TCAF1P1
LINS	LINS1
RP11-321E8.5	ZNF680P1
RP11-350G8.5	IL6R-AS1
TSSC1	EIPR1
ASUN	INTS13
RP11-421N8.2	LINC01912
RP11-747D18.1	LINC02023
CENPVP3	CENPVL3
AC013437.4	MTND4LP12
RP11-377K22.3	RPL23AP85
Y_RNA	RNY3P13
AC013437.6	MTCO3P5
LINC00694	C3orf86
RP11-266I3.5	MTCO1P52
C10orf32	BORCS7
CTD-2315E11.1	IDH2-DT
RP11-126L15.4	SLC12A9-AS1
RP11-79P5.7	LINC01385
RP11-477N12.3	GSG1L2
RP11-998D10.5	CKAP2P1
C17orf104	MEIOC
AC008074.4	LINC01805
RP11-626I20.3	LINC02401
GPR126	ADGRG6
RP11-357K6.1	LINC02440
CTC-465D4.1	LINC02468
AC007050.18	CCDC74BP1
RP11-765K14.1	LINC02509
KIAA0196-AS1	WASHC5-AS1
LINC01171	C11orf97
RP11-85F14.1	RAD51AP1P1
DHFRL1	DHFR2
RP11-415A20.1	LINC02567
ZSCAN5D	ZSCAN5DP
RP11-91A15.1	MTCO1P6
RP11-706O15.5	FAM239B
RP11-706O15.7	FAM239C
TAAR3	TAAR3P
CTC-228N24.3	LINC01184
MIR382	MIR487A
RP11-600K15.1	LINC01592
AL035610.1	LINC01697
CTD-3030D20.2	BNIP3P25
TSSK5P1	TSSK5P
RP11-86L19.2	TOPORSLP
RP11-320M16.1	MTCO1P2
CTB-135N1.2	BNIP3P29
GS1-124K5.6	GTF2IP9
XXbac-B135H6.15	LINC01637
RP11-491H19.1	LINC02625
EMR1	ADGRE1
CCDC101	SGF29
CTD-2354A18.1	LINC02582
RP11-19F9.1	RPL12P40
ZCCHC6	TUT7
RP11-402J6.2	RPL23AP94
AC124944.4	KIF3AP1
TBC1D27	TBC1D27P
RP11-642P15.1	TTC41P
LINC00998	SMIM30
RP11-12D24.7	RNF152P1
CTD-2127H9.1	OSMR-AS1
RP11-40F8.2	PTCHD1-AS
RP3-433F14.4	MTATP6P25
RP11-256L6.4	YPEL5P3
RP11-165H4.3	SAPCD2P1
RP11-797H7.3	EEF1DP4
FAM198A	GASK1A
RP11-270M14.5	TGFB3-AS1
RP11-395B20.1	ATP5F1AP4
RP5-1166F10.1	LINC01777
5S_rRNA	RNA5SP525
RP11-149A7.2	LINC01256
RP11-163N6.2	LINC01301
CTD-2014E2.6	LINC02190
SEPW1P	SELENOWP1
RP4-597A16.3	BRWD1P1
C9orf41	CARNMT1
POLR2CP	POLR2CP1
CTD-2081C10.1	LINC02105
CTD-2275D24.3	LINC01332
C1QBPP	C1QBPP1
RP11-398E10.1	LINC02302
RP11-124D2.7	H3F3AP2
TGIF2-C20orf24	TGIF2-RAB5IF
C15orf37	ST20-AS1
LINC00966	MIR124-2HG
SOX5P	SOX5P1
RP11-404O18.1	CCNG2P1
RP11-405A12.1	TCP1P3
RP11-282K24.2	MEF2BNBP1
WBSCR27	METTL27
CCDC147-AS1	CFAP58-DT
WBP5	TCEAL9
RP11-13A1.1	LINC02458
RP11-382J12.1	LACTB2-AS1
CTD-2542O7.2	RPL12P49
GIF	CBLIF
AC007163.8	MTCO2P16
RP11-399D6.2	LINC01239
RP11-460N16.1	SAMMSON
XRCC6BP1	ATP23
RP11-231C18.1	LINC02283
C3orf65	IGF2BP2-AS1
C10orf85	LINC01561
RP11-638I8.1	GTF2IP13
GAREM	GAREM1
RP11-276E17.2	LINC01675
RP11-478P10.1	LINC02225
RP11-174B4.2	RPSAP75
AL022344.4	LINC01518
C10orf118	CCDC186
RP11-413P11.1	LINC01708
SELM	SELENOM
RP11-153M3.1	HSPD1P4
C21orf90	TSPEAR-AS2
FAM127A	RTL8C
AC007272.3	RPL17P10
RP11-515E23.1	SMIM36
C19orf40	FAAP24
NOV	CCN3
RP1-97J1.2	LINC02527
RP11-559N14.5	DNAH17-AS1
RP11-521C20.3	BMF-AS1
EFTUD1P1	EFL1P1
SKINTL	SKINT1L
RP11-368I23.2	LINC02082
AC073072.6	MTCYBP42
ZNF321P	ZNF816-ZNF321P
RP11-65J21.1	LINC02130
CTD-2320B12.3	MTND4P33
RP1-224A6.3	LINC01635
RP11-170N11.1	LINC01361
RP11-133I21.2	NANOGP11
PPAPDC1A	PLPP4
LINC00577	LIN28B-AS1
RP3-450M14.1	ADI1P1
DYNLL1-AS1	NRAV
FBXO18	FBH1
TM4SF19	TM4SF19-TCTEX1D2
RP11-168E17.1	LINC02270
RP11-654D12.1	BRWD1P2
ALPPL2	ALPG
RP11-406O16.1	LINC02549
RP11-182B22.2	RPSAP21
RP11-255N24.1	C2orf27AP2
RP11-493K23.1	PABPC1L2B-AS1
RP11-662B19.2	INTS9-AS1
DFNB59	PJVK
RP11-346I3.4	RRS1-AS1
RP11-619L12.1	RPL12P22
AC074091.13	LINC01460
GPR56	ADGRG1
RP11-665E10.5	MTCYBP41
AC012313.1	RNF225
ALS2CR11	C2CD6
Z83851.3	OGFRP1
CTD-2023M8.1	LINC02100
AP001891.1	LINC02151
KAL1	ANOS1
RP11-36D19.4	ZNF519P1
FBXL21	FBXL21P
RP11-71E22.1	JKAMPP1
TTC40	CFAP46
RP13-653N12.2	LINC02368
AC010747.2	RPL23AP33
AP002954.6	TREHP1
CTB-43E15.3	LINC01484
RP11-10D7.2	BUD31P1
RP11-593P24.3	MTND5P41
CDIPT-AS1	CDIPTOSP
RP11-790I12.2	UGT2B24P
RP11-4K16.2	MAL2-AS1
U6	RNU6-86P
5S_rRNA	RNA5SP108
GBAS	NIPSNAP2
RP11-472N13.3	MACORIS
AC009499.2	LINC01318
RP11-4K3__A.5	ACTG1P20
RP11-6F2.5	LINC02029
AP001171.1	LINC02573
CTD-2010I22.2	LINC02064
TCEB1P33	ELOCP33
AC009948.5	PRKRA-AS1
CTD-2024I7.1	RPS27AP10
RP11-145E17.2	LINC02247
CCDC41	CEP83
AC010744.1	LINC01809
AC093391.2	DARS-AS1
AC012594.1	MYO3B-AS1
RP11-101E14.2	LINC01370
AC078899.2	BNIP3P18
CTD-2194D22.2	LINC02116
RP11-132N15.3	LINC01991
AC096559.1	MIR3681HG
RP11-90P5.7	RNU6-323P
HOXD-AS1	HAGLR
AC004159.1	RPL10P11
RP11-755B10.2	DENND6A-AS1
TMEM194B	NEMP2
RPL12L3	RPL12P12
GMDS-AS1	GMDS-DT
RP11-80F22.13	FRG2IP
RP1-92C8.2	RAP1BP3
AC098823.3	LINC01907
BX005214.1	FGF7P4
CXorf36	DIPK2B
PRKRIRP9	THAP12P9
RP11-181C3.1	LINC02453
RP11-602M11.3	ACTG1P15
RP5-905H7.5	ARAFP3
RP4-544H6.2	LINC01364
FDX1L	FDX2
T	TBXT
RP11-398K14.1	SGO1P2
RP11-557B23.3	RPSAP67
HYALP1	HYAL6P
AL390877.1	PNRC2P1
KIAA1199	CEMIP
RP11-298P6.5	MIOXP1
RP11-328M4.3	LINC01276
RP11-4F22.2	PRKCA-AS1
PDPK2	PDPK2P
NDNL2	NSMCE3
AC018804.7	NOC2LP1
RP11-122F24.1	LINC02196
RP4-792G4.2	FOXD3-AS1
AP001055.6	LINC01678
RP11-384C4.3	RPL23AP18
RP11-375D13.2	LINC01499
C1orf173	ERICH3
RP11-227J5.3	B3GAT3P1
SNORA3	SNORA3A
C6orf10	TSBP1
AC011343.1	LINC01847
RNVU1-9	RNVU1-7
RP11-871F6.2	TIMM17BP1
HPRTP3	HPRT1P3
RP11-695J4.2	PLBD1-AS1
RP11-3L23.2	LINC02423
AC092338.5	MFSD13B
RPA3-AS1	UMAD1
RP11-500K19.1	LINC02049
C1orf172	KDF1
LINC00116	MTLN
AC021021.1	PIK3CDP1
RP11-323I14__A.1	DHFRP6
MUT	MMUT
PVRL3	NECTIN3
MFSD4	MFSD4A
AC010090.1	LINC01412
RP11-150L8.3	NUTF2P6
FAM92A1	FAM92A
RP11-80F22.5	AGGF1P6
RP11-648M2.2	KCTD9P5
Metazoa_SRP	RN7SL760P
Y_RNA	RNY1P15
LL22NC03-86D4.1	LINC01643
